quote,word,count,group
quote_2020_218,bellingham,1.0,baseline
quote_2020_218,looks,1.0,baseline
quote_2020_218,like,1.0,baseline
quote_2020_218,talent,1.0,baseline
quote_2020_218,imagine,1.0,baseline
quote_2020_218,wanting,1.0,baseline
quote_2020_218,sign,1.0,baseline
quote_2020_218,30,1.0,baseline
quote_2020_218,million,2.0,baseline
quote_2020_218,clubs,1.0,baseline
quote_2020_218,turnover,1.0,baseline
quote_2020_218,650,1.0,baseline
quote_2020_218,",",1.0,baseline
quote_2020_218,bruno,1.0,baseline
quote_2020_218,(,1.0,baseline
quote_2020_218,fernandes,1.0,baseline
quote_2020_218,),1.0,baseline
quote_2020_218,signed,1.0,baseline
quote_2020_218,.,1.0,baseline
quote_2020_635,need,1.0,baseline
quote_2020_635,lesson,1.0,baseline
quote_2020_635,anybody,1.0,baseline
quote_2020_635,",",2.0,baseline
quote_2020_635,especially,2.0,baseline
quote_2020_635,president,1.0,baseline
quote_2020_635,united,1.0,baseline
quote_2020_635,states,1.0,baseline
quote_2020_635,dignity,1.0,baseline
quote_2020_635,...,1.0,baseline
quote_2020_635,think,1.0,baseline
quote_2020_635,entirely,1.0,baseline
quote_2020_635,appropriate,1.0,baseline
quote_2020_635,.,1.0,baseline
quote_2020_2084,usmca,1.0,baseline
quote_2020_2084,provides,1.0,baseline
quote_2020_2084,stability,1.0,baseline
quote_2020_2084,predictability,1.0,baseline
quote_2020_2084,",",5.0,baseline
quote_2020_2084,producers,1.0,baseline
quote_2020_2084,consumers,1.0,baseline
quote_2020_2084,.,2.0,baseline
quote_2020_2084,businesses,1.0,baseline
quote_2020_2084,families,1.0,baseline
quote_2020_2084,employers,1.0,baseline
quote_2020_2084,employees,1.0,baseline
quote_2020_2084,--,1.0,baseline
quote_2020_2084,benefits,1.0,baseline
quote_2020_3396,significant,1.0,baseline
quote_2020_3396,number,1.0,baseline
quote_2020_3396,officers,1.0,baseline
quote_2020_3396,retiring,1.0,baseline
quote_2020_3396,",",2.0,baseline
quote_2020_3396,certainly,1.0,baseline
quote_2020_3396,expect,1.0,baseline
quote_2020_3396,increase,1.0,baseline
quote_2020_3396,retirements,1.0,baseline
quote_2020_3396,years,1.0,baseline
quote_2020_5319,clean,1.0,baseline
quote_2020_5319,air,1.0,baseline
quote_2020_5319,luxury,1.0,baseline
quote_2020_5319,",",3.0,baseline
quote_2020_5319,trying,1.0,baseline
quote_2020_5319,industry,1.0,baseline
quote_2020_5319,like,1.0,baseline
quote_2020_5319,replacing,1.0,baseline
quote_2020_5319,coal,1.0,baseline
quote_2020_5319,natural,1.0,baseline
quote_2020_5319,gas,1.0,baseline
quote_2020_5319,truly,1.0,baseline
quote_2020_5319,transformative,1.0,baseline
quote_2020_5319,.,1.0,baseline
quote_2020_5384,dude,1.0,baseline
quote_2020_5384,",",4.0,baseline
quote_2020_5384,stuff,1.0,baseline
quote_2020_5384,great,1.0,baseline
quote_2020_5384,stops,1.0,baseline
quote_2020_5384,tomorrow,1.0,baseline
quote_2020_5384,okay,1.0,baseline
quote_2020_5384,.,5.0,baseline
quote_2020_5384,know,3.0,baseline
quote_2020_5384,good,1.0,baseline
quote_2020_5384,things,1.0,baseline
quote_2020_5384,define,1.0,baseline
quote_2020_5384,qualities,1.0,baseline
quote_2020_5384,human,1.0,baseline
quote_2020_5384,going,1.0,baseline
quote_2020_5384,forward,1.0,baseline
quote_2020_5384,borrowed,1.0,baseline
quote_2020_5384,grateful,2.0,baseline
quote_2020_5384,able,1.0,baseline
quote_2020_5384,contribute,1.0,baseline
quote_2020_5384,want,1.0,baseline
quote_2020_5384,greedy,1.0,baseline
quote_2020_5384,performer,1.0,baseline
